Red,Green,Blue
0.311,0.344,0.344
0.292,0.354,0.354
0.345,0.345,0.310
0.350,0.350,0.300
0.350,0.350,0.300
0.317,0.341,0.341
0.308,0.346,0.346
0.310,0.333,0.357
0.296,0.333,0.370
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.381,0.286
0.293,0.390,0.317
0.302,0.372,0.326
0.289,0.378,0.333
0.256,0.395,0.349
0.233,0.395,0.372
0.261,0.370,0.370
0.255,0.383,0.362
0.227,0.386,0.386
0.255,0.383,0.362
0.222,0.400,0.378
0.190,0.405,0.405
0.186,0.419,0.395
0.174,0.435,0.391
0.310,0.345,0.345
0.321,0.339,0.339
0.328,0.345,0.328
0.333,0.333,0.333
0.333,0.333,0.333
0.322,0.339,0.339
0.317,0.333,0.350
0.333,0.333,0.333
0.321,0.339,0.339
0.310,0.345,0.345
0.309,0.345,0.345
0.309,0.345,0.345
0.309,0.345,0.345
0.286,0.367,0.347
0.300,0.300,0.400
0.333,0.333,0.333
